start_sec,duration,text
2.31,0.009999999999999787,sérieusement ton chien mange tout ce
2.32,1.9490000000000003,sérieusement ton chien mange tout ce qu'il<00:00:02.560><c> trouve</c><00:00:02.919><c> que</c><00:00:03.040><c> ça</c><00:00:03.199><c> soit</c><00:00:03.439><c> comestible</c><00:00:04.160><c> ou</c>
4.269,0.009999999999999787,qu'il trouve que ça soit comestible ou
4.279,2.311,qu'il trouve que ça soit comestible ou non<00:00:04.560><c> chez</c><00:00:04.759><c> toi</c><00:00:05.160><c> à</c><00:00:05.279><c> l'extérieur</c><00:00:05.920><c> tu</c><00:00:06.080><c> n'en</c><00:00:06.399><c> peux</c>
6.59,0.009999999999999787,non chez toi à l'extérieur tu n'en peux
6.6,2.029,non chez toi à l'extérieur tu n'en peux plus<00:00:07.000><c> cette</c><00:00:07.160><c> vidéo</c><00:00:07.560><c> elle</c><00:00:07.720><c> est</c><00:00:07.919><c> pour</c><00:00:08.120><c> toi</c><00:00:08.400><c> dans</c>
8.629,0.009999999999999787,plus cette vidéo elle est pour toi dans
8.639,2.0700000000000003,plus cette vidéo elle est pour toi dans un<00:00:08.760><c> premier</c><00:00:09.080><c> temps</c><00:00:09.440><c> je</c><00:00:09.559><c> vais</c><00:00:09.760><c> t'expliquer</c>
10.709,0.009999999999999787,un premier temps je vais t'expliquer
10.719,1.391,un premier temps je vais t'expliquer pourquoi<00:00:11.040><c> ton</c><00:00:11.240><c> chien</c><00:00:11.480><c> fait</c><00:00:11.679><c> ça</c><00:00:11.799><c> pourquoi</c>
12.11,0.009999999999999787,pourquoi ton chien fait ça pourquoi
12.12,1.6290000000000013,pourquoi ton chien fait ça pourquoi c'est<00:00:12.440><c> de</c><00:00:12.519><c> pire</c><00:00:12.759><c> en</c><00:00:12.880><c> pire</c><00:00:13.080><c> malgré</c><00:00:13.440><c> tout</c><00:00:13.599><c> ce</c><00:00:13.679><c> que</c>
13.749,0.009999999999999787,c'est de pire en pire malgré tout ce que
13.759,2.1099999999999994,c'est de pire en pire malgré tout ce que tu<00:00:13.880><c> mets</c><00:00:14.120><c> en</c><00:00:14.240><c> place</c><00:00:14.799><c> qu'est-ce</c><00:00:15.160><c> que</c><00:00:15.240><c> ça</c><00:00:15.440><c> génère</c>
15.869,0.009999999999999787,tu mets en place qu'est-ce que ça génère
15.879,2.1910000000000007,tu mets en place qu'est-ce que ça génère et<00:00:16.320><c> une</c><00:00:16.480><c> fois</c><00:00:16.680><c> que</c><00:00:16.760><c> tu</c><00:00:16.920><c> auras</c><00:00:17.199><c> bien</c><00:00:17.359><c> compris</c><00:00:17.680><c> ça</c>
18.07,0.00999999999999801,et une fois que tu auras bien compris ça
18.08,2.189,et une fois que tu auras bien compris ça on<00:00:18.199><c> va</c><00:00:18.400><c> pouvoir</c><00:00:18.720><c> parler</c><00:00:19.160><c> des</c><00:00:19.439><c> exercices</c><00:00:20.119><c> à</c>
20.269,0.010000000000001563,on va pouvoir parler des exercices à
20.279,1.9100000000000001,on va pouvoir parler des exercices à mettre<00:00:20.519><c> en</c><00:00:20.640><c> place</c><00:00:20.920><c> des</c><00:00:21.119><c> exercices</c><00:00:21.640><c> concrets</c>
22.189,0.010000000000001563,mettre en place des exercices concrets
22.199,2.4309999999999974,mettre en place des exercices concrets et<00:00:22.439><c> véritablement</c><00:00:23.160><c> efficaces</c><00:00:24.160><c> alors</c>
24.63,0.010000000000001563,et véritablement efficaces alors
24.64,1.9899999999999984,et véritablement efficaces alors installe-toi<00:00:25.240><c> bien</c><00:00:25.560><c> c'est</c><00:00:25.760><c> parti</c><00:00:26.320><c> donc</c><00:00:26.480><c> dans</c>
26.63,0.010000000000001563,installe-toi bien c'est parti donc dans
26.64,2.029,installe-toi bien c'est parti donc dans cette<00:00:26.840><c> vidéo</c><00:00:27.279><c> on</c><00:00:27.359><c> va</c><00:00:27.439><c> parler</c><00:00:27.720><c> du</c><00:00:27.920><c> refus</c><00:00:28.279><c> d'</c><00:00:28.439><c> pas</c>
28.669,0.00999999999999801,cette vidéo on va parler du refus d' pas
28.679,1.990000000000002,cette vidéo on va parler du refus d' pas en<00:00:28.880><c> autocontrôle</c><00:00:29.480><c> c'est-à-dire</c><00:00:30.080><c> dire</c><00:00:30.279><c> que</c><00:00:30.560><c> le</c>
30.669,0.00999999999999801,en autocontrôle c'est-à-dire dire que le
30.679,2.631000000000004,en autocontrôle c'est-à-dire dire que le refus<00:00:31.039><c> d'</c><00:00:31.320><c> pas</c><00:00:31.960><c> classique</c><00:00:32.439><c> où</c><00:00:32.719><c> tu</c><00:00:32.840><c> dis</c><00:00:33.160><c> tu</c>
